Query name,Predicted enzyme class,Predicted substrate specificity
MENE_ARATH_Arabidopsis_thaliana_cinnamate.and.succinylbenzoate.derivatives_aryl_ARYL,ARYL,C12 through C17
MENE_BACSU_Bacillus_subtilis_cinnamate.and.succinylbenzoate.derivatives_aryl_ARYL,ARYL,cinnamate and succinylbenzoate derivatives
MENE_ECOLI_Escherichia_coli_cinnamate.and.succinylbenzoate.derivatives_aryl_ARYL,ARYL,cinnamate and succinylbenzoate derivatives
MENE_MYCTU_Mycobacterium_tuberculosis_cinnamate.and.succinylbenzoate.derivatives_aryl_ARYL,ARYL,cinnamate and succinylbenzoate derivatives
MENE_STAAN_Staphylococcus_aureus_cinnamate.and.succinylbenzoate.derivatives_aryl_ARYL,ARYL,cinnamate and succinylbenzoate derivatives
KOG46787.1_Streptomyces_virginiae_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
AGY62760.1_Streptomyces_aburaviensis_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
NP_717354.1_Shewanella_oneidensis_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_268880.1_Colwellia_psychrerythraea_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_562380.1_Shewanella_denitrificans_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_927061.1_Shewanella_amazonensis_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_947744.1_Arthrobacter_aurescens_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_001049935.1_Shewanella_baltica_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
ZP_01857291.1_Planctomyces_maris_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_001637104.1_Chloroflexus_aurantiacus_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_001854904.1_Kocuria_rhizophila_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_002138909.1_Geobacter_bemidjiensis_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
AFC01244.1_Stenotrophomonas_maltophilia_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
WP_010078536.1_Micrococcus_luteus_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
WP_011035474.1_Xanthomonas_campestris_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
WP_036166093.1_Lysobacter_dokdonensis_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
WP_043804215.1_Arenimonas_malthae_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
WP_082785907.1_Shewanella_putrefaciens_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
ZP_01515934.1_Chloroflexus_aggregans_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_001529891.1_Desulfococcus_oleovorans_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_066367.1_Desulfotalea_psychrophila_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
ZP_01311978.1_Desulfuromonas_acetoxidans_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_002660798.1_gamma_proteobacterium_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_001952507.1_Geobacter_lovleyi_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
ZP_01387897.1_Geobacter_sp._median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
ZP_03022590.1_Geobacter_sp._median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_001230771.1_Geobacter_uraniireducens_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
ZP_01897864.1_Moritella_sp._median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
ZP_03724080.1_Diplosphaera_colitermitum_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_001817746.1_Opitutus_terrae_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_902768.1_Pelobacter_propionicus_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
ZP_01221859.1_Photobacterium_profundum_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_129677.1_Photobacterium_profundum_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_943363.1_Psychromonas_ingrahamii_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
ZP_01216823.1_Psychromonas_sp._median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_001365758.1_Shewanella_baltica_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_001554015.1_Shewanella_baltica_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_002358708.1_Shewanella_baltica_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
ZP_02159178.1_Shewanella_benthica_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_750058.1_Shewanella_frigidimarina_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_001675029.1_Shewanella_halifaxensis_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_001093841.1_Shewanella_loihica_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_001502589.1_Shewanella_pealeana_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_002312623.1_Shewanella_piezotolerans_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
ZP_01706253.1_Shewanella_putrefaciens_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_001182971.1_Shewanella_putrefaciens_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_001473251.1_Shewanella_sediminis_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_870346.1_Shewanella_sp._median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_734674.1_Shewanella_sp._median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_738655.1_Shewanella_sp._median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_964029.1_Shewanella_sp._median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_001761523.1_Shewanella_woodyi_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_001970131.1_Stenotrophomonas_maltophilia_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_002026558.1_Stenotrophomonas_maltophilia_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
ZP_05134133.1_Stenotrophomonas_sp._median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
CAJ87982.1_Streptomyces_ambofaciens_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
ZP_04685216.1_Streptomyces_ghanaensis_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
NP_640593.2_Xanthomonas_axonopodis_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_001901643.1_Xanthomonas_campestris_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_202854.6_Xanthomonas_oryzae_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
ZP_02241408.1_Xanthomonas_oryzae_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_947744.1_Arthrobacter_aurescens_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_002486535.1_Arthrobacter_chlorophenolicus_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
ZP_04530118.1_Brachybacterium_faecium_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
ZP_00380721.1_Brevibacterium_linens_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_001710553.1_Clavibacter_michiganensis_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
ZP_01103250.1_Congregibacter_litoralis_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
ZP_03888711.1_Geodermatophilus_obscurus_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_001361431.1_Kineococcus_radiotolerans_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_001854904.1_Kocuria_rhizophila_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
ZP_04042223.1_Kytococcus_sedentarius_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
YP_002957383.1_Micrococcus_luteus_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
ZP_04350502.1_Nakamurella_multipartita_median.beta.hydroxyacid_medianbetahydroxyacidlong_BLS,BLS,median beta hydroxyacid
CAA61668.1_Lampyris_noctiluca_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
CAA59281.1_Photinus_pyralis_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
BAA05005.1_Photuris_pensylvanica_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
AAG45439.1_Pyrocoelia_rufa_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
AAM00429.1_Hotaria_unmunsana_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
AAQ11688.1_Pyrophorus_plagiophthalamus_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
AAQ19141.1_Pyrophorus_mellifluus_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
AAV32457.1_Cratomorphus_distinctus_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
AAZ74651.1_Lampyroidea_maculata_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
ABA03040.1_Luciola_italica_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
BAE80731.1_Luciola_cruciata_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
ABD66580.1_Diaphanes_pectinealis_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
XP_967226.1_Tribolium_castaneum_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
ABM21578.1_Pyrocoelia_pectoralis_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
BAF96580.1_Agrypnus_binodulus_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
ABZ88151.1_Abscondita_terminalis_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
XP_001845435.1_Culex_quinquefasciatus_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
ACF61063.1_Pyrocoelia_pygidialis_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
XP_002429109.1_Pediculus_humanus_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
ACT68596.1_Brasilocerus_sp._luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
ACT68597.1_Phrixothrix_hirtus_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
BAI66600.1_Pyrophorus_angustus_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
BAJ07977.1_Lucidina_biplagiata_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
ADK56478.1_Taximastinocerus_sp._luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
XP_003395843.1_Bombus_terrestris_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
BAL40874.1_Cyphonocerus_ruficollis_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
BAL40875.1_Drilaster_axillaris_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
BAL46509.1_Stenocladius_azumai_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
BAL46510.1_Aquatica_lateralis_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
BAL46511.1_Luciola_parvula_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
XP_003696437.1_Apis_florea_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
KFB36727.1_Anopheles_sinensis_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
XP_011061069.1_Acromyrmex_echinatior_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
BAQ25862.1_Pyrophorus_sp._luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
BAQ25863.1_Cryptalaus_berus_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
BAQ25864.1_Pectocera_fortunei_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
XP_011549729.1_Plutella_xylostella_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
XP_012139139.1_Megachile_rotundata_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
XP_012160201.1_Ceratitis_capitata_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
XP_012262049.1_Athalia_rosae_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
XP_014467589.1_Dinoponera_quadriceps_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
XP_015439820.1_Dufourea_novaeangliae_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
XP_015589272.1_Cephus_cinctus_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
XP_016906808.1_Apis_cerana_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
BAV92785.1_Pyrocoelia_sp._luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
XP_019766217.1_Dendroctonus_ponderosae_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
BAW87786.1_Pyrocoelia_atripennis_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
XP_020299574.1_Pseudomyrmex_gracilis_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
XP_021912915.1_Zootermopsis_nevadensis_luciferin_luciferin_LUCIFERASE,ARYL,luciferin
XP_022194958.1_Nilaparvata_lugens_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
XP_022817592.1_Spodoptera_litura_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
XP_022911402.1_Onthophagus_taurus_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
XP_023022319.1_Leptinotarsa_decemlineata_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
XP_026314673.1_Hyposmocoma_kahamanoa_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
BBD06514.1_Watasenia_scintillans_C2.through.C5_shortchain_OTHER,ARYL,C12 through C17
AXM90648.1_Watasenia_scintillans_C2.through.C5_shortchain_OTHER,ARYL,median beta hydroxyacid
AXM90649.1_Watasenia_scintillans_C2.through.C5_shortchain_OTHER,ARYL,cinnamate and succinylbenzoate derivatives
NCSB2_STRCZ_Streptomyces_carzinostaticus_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
O05295_MYCTU_Mycobacterium_tuberculosis_C12.through.C17_longchain_LACS,ARYL,C12 through C17
O05307_MYCTU_Mycobacterium_tuberculosis_C12.through.C17_longchain_LACS,LACS,C12 through C17
O06417_MYCTU_Mycobacterium_tuberculosis_C12.through.C17_longchain_LACS,LACS,C12 through C17
O06831_MYCTU_Mycobacterium_tuberculosis_C12.through.C17_longchain_LACS,LACS,C12 through C17
O07169_MYCTU_Mycobacterium_tuberculosis_C12.through.C17_longchain_LACS,LACS,C12 through C17
O07411_MYCTU_Mycobacterium_tuberculosis_C12.through.C17_longchain_LACS,LACS,C12 through C17
O30147_ARCFU_Archaeoglobus_fulgidus_C12.through.C17_longchain_LACS,LACS,C12 through C17
O53406_MYCTU_Mycobacterium_tuberculosis_C6.through.C11_mediumchain_MACS,ARYL,C6 through C11
O53903_MYCTU_Mycobacterium_tuberculosis_C12.through.C17_longchain_FAAL,FAAL,C12 through C17
P72007_MYCTU_Mycobacterium_tuberculosis_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C12 through C17
P95227_MYCTU_Mycobacterium_tuberculosis_C12.through.C17_longchain_LACS,LACS,C12 through C17
P96396_MYCTU_Mycobacterium_tuberculosis_C12.through.C17_longchain_LACS,LACS,C12 through C17
PAAK_AZOEV_Azoarcus_evansii_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
PAAK_ECOLI_Escherichia_coli_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
PAAK_PSEPU_Pseudomonas_putida_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
PAAK_THET2_Thermus_thermophilus_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
PIGI_SERS3_Serratia_sp._amino.acid_aminoacid_NRPS,NRPS,cyclic aliphatic aa
PQSA_PSEAE_Pseudomonas_aeruginosa_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
PYR1_ASPFU_Neosartorya_fumigata_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
Q08BF2_DANRE_Danio_rerio_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
Q0VCZ8_BOVIN_Bos_taurus_C12.through.C17_longchain_LACS,LACS,C12 through C17
Q13WK3_PARXL_Paraburkholderia_xenovorans_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
Q18496_CAEEL_Caenorhabditis_elegans_C2.through.C5_shortchain_SACS,SACS,C2 through C5
Q1LVA8_DANRE_Danio_rerio_C12.through.C17_longchain_LACS,LACS,C12 through C17
Q1LZF6_BOVIN_Bos_taurus_C12.through.C17_longchain_LACS,LACS,C12 through C17
Q2QC87_PIG_Sus_scrofa_C12.through.C17_longchain_LACS,LACS,C18 and up or bile acid
Q50631_MYCTU_Mycobacterium_tuberculosis_C12.through.C17_longchain_LACS,LACS,C12 through C17
Q59E09_DROME_Drosophila_melanogaster_C2.through.C5_shortchain_SACS,SACS,C2 through C5
Q5F2C5_MOUSE_Mus_musculus_C12.through.C17_longchain_LACS,LACS,C12 through C17
Q5ICG5_MOUSE_Mus_musculus_C12.through.C17_longchain_LACS,LACS,C12 through C17
Q5UFR2_9COLE_Lampyris_turkestanicus_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
Q5ZTD3_LEGPH_Legionella_pneumophila_C12.through.C17_longchain_FAAL,FAAL,C12 through C17
Q65ZB8_CAEEL_Caenorhabditis_elegans_C2.through.C5_shortchain_SACS,SACS,C2 through C5
Q6DHN4_DANRE_Danio_rerio_C2.through.C5_shortchain_SACS,SACS,C2 through C5
Q6GMM8_RAT_Rattus_norvegicus_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
Q6NAE3_RHOPA_Rhodopseudomonas_palustris_C12.through.C17_longchain_LACS,LACS,C12 through C17
Q6NC13_RHOPA_Rhodopseudomonas_palustris_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
Q6ND88_RHOPA_Rhodopseudomonas_palustris_C2.through.C5_shortchain_SACS,SACS,C2 through C5
Q8AAN6_BACTN_Bacteroides_thetaiotaomicron_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
Q8BYJ0_MOUSE_Mus_musculus_C12.through.C17_longchain_LACS,LACS,C12 through C17
Q8C028_MOUSE_Mus_musculus_C12.through.C17_longchain_LACS,LACS,C12 through C17
Q8GN86_9BURK_Alcaligenes_sp._aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
Q8R1X1_MOUSE_Mus_musculus_C12.through.C17_longchain_LACS,LACS,C12 through C17
Q8T3L1_DROME_Drosophila_melanogaster_C12.through.C17_longchain_LACS,LACS,C12 through C17
Q941M3_POPTO_Populus_tomentosa_cinnamate.and.succinylbenzoate.derivatives_aryl_ARYL,ARYL,cinnamate and succinylbenzoate derivatives
Q9U4U7_9COLE_Phrixothrix_hirtus_luciferin_luciferin_LUCIFERASE,LUCIFERASE,luciferin
Q9VKU1_DROME_Drosophila_melanogaster_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
R4GNB1_HUMAN_Homo_sapiens_amino.acid_aminoacid_NRPS,NRPS,bulky mainly phenyl derivatives aa
S27A1_HUMAN_Homo_sapiens_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
S27A1_MOUSE_Mus_musculus_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
S27A2_HUMAN_Homo_sapiens_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
S27A2_MOUSE_Mus_musculus_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
S27A2_RAT_Rattus_norvegicus_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
S27A3_MOUSE_Mus_musculus_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
S27A4_HUMAN_Homo_sapiens_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
S27A4_MOUSE_Mus_musculus_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
S27A5_HUMAN_Homo_sapiens_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
S27A5_MOUSE_Mus_musculus_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
S27A5_RAT_Rattus_norvegicus_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
VRTB_PENAE_Penicillium_aethiopicum_C2.through.C5_shortchain_SACS,ARYL,C2 through C5
X5IJ97_9ACTN_Streptomyces_sp._C6.through.C11_mediumchain_MACS,MACS,C6 through C11
U5TSK2_RHILE_Rhizobium_leguminosarum_C2.through.C5_shortchain_SACS,SACS,C2 through C5
X6R3N0_HUMAN_Homo_sapiens_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
WP_027148176.1_Methylobacter_tundripaludum_C2.through.C5_shortchain_ARYL,ARYL,C2 through C5
ABV56587.1_Kutzneria_sp._C2.through.C5_shortchain_SACS,ARYL,aryl and biaryl derivatives
NP_230421.1_Vibrio_cholerae_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
CBA63660.1_Streptomyces_sp._aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
AGE11892.1_Streptomyces_sp._aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
AAM77987.1_Streptomyces_carzinostaticus_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
BAG16281.1_Nocardia_brasiliensis_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
AAN85536.1_Streptomyces_atroolivaceus_cinnamate.and.succinylbenzoate.derivatives_aryl_ARYL,ARYL,cinnamate and succinylbenzoate derivatives
ACU59373.1_Chitinophaga_pinensis_cinnamate.and.succinylbenzoate.derivatives_aryl_ARYL,ARYL,cinnamate and succinylbenzoate derivatives
CAE52336.1_Xanthomonas_albilineans_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
ADC79613.1_Streptomyces_lohii_amino.acid_aminoacid_NRPS,ARYL,C12 through C17
ADZ13540.1_Streptomyces_sp._aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
CAE16560.1_Photorhabdus_luminescens_C2.through.C5_shortchain_SACS,ARYL,C2 through C5
AIL50189.1_Streptomyces_aureus_amino.acid_aminoacid_NRPS,ARYL,C12 through C17
BAN59740.1_Rhodococcus_erythropolis_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
CAL48957.1_Stigmatella_aurantiaca_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
AKA54630.1_Streptomyces_sp._cinnamate.and.succinylbenzoate.derivatives_aryl_ARYL,ARYL,cinnamate and succinylbenzoate derivatives
AAQ84158.1_Streptomyces_sp._C6.through.C11_mediumchain_MACS,MACS,C6 through C11
AFV96135.1_Cylindrospermum_licheniforme_C6.through.C11_mediumchain_FAAL,FAAL,C6 through C11
AIW82280.1_Cylindrospermum_alatosporum_C12.through.C17_longchain_FAAL,FAAL,C12 through C17
BAQ25518.1_Micromonospora_sp._C2.through.C5_shortchain_SACS,ARYL,C2 through C5
AWW87429.1_Streptomyces_sp._C2.through.C5_shortchain_SACS,SACS,C2 through C5
AGD80622.1_Streptomyces_lusitanus_C12.through.C17_longchain_FAAL,FAAL,C12 through C17
EPE34349.1_Glarea_lozoyensis_C12.through.C17_longchain_LACS,LACS,C12 through C17
CAE02600.1_Streptomyces_thioluteus_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
BAO84862.1_Streptomyces_melanovinaceus_C12.through.C17_longchain_LACS,FAAL,C12 through C17
ACZ65474.1_Streptomyces_sp._C12.through.C17_longchain_FAAL,FAAL,C12 through C17
ADE34495.1_Streptomyces_sp._aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
ABY66018.1_Actinomadura_madurae_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
AAO07759.1_Vibrio_vulnificus_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
AAO07763.1_Vibrio_vulnificus_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
